item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,relationship,configuration,evidence_state,source_ids,source_locator,status,notes
SCR-HW-001,PXS-IRWST,IRWST screen assembly A,debris_screen_assembly,1,"tag PXS-MY-Y01A",Protects gravity injection flow path from debris,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-100,ACTIVE,Envelope drawing APP-MY03-V2-100; detailed frame/plate/fastener BOM requires underlying drawing
SCR-HW-002,PXS-IRWST,IRWST screen assembly B,debris_screen_assembly,1,"tag PXS-MY-Y01B",Protects gravity injection flow path from debris,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-130,ACTIVE,Envelope drawing APP-MY03-V2-130
SCR-HW-003,PXS-IRWST,IRWST screen assembly C,debris_screen_assembly,1,"tag PXS-MY-Y01C",Protects gravity injection flow path from debris,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-135,ACTIVE,Envelope drawing APP-MY03-V2-135
SCR-HW-004,PXS-IRWST,IRWST removable/filter cartridge family,screen_cartridge_set,UNRESOLVED,"common cartridge envelope drawing APP-MY03-V2-110",Screen media/cartridge elements installed in Y01A/Y01B/Y01C assemblies,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-110,ACTIVE,Inspection record APP-MY03-V2R-110 identified; exact cartridge count per screen frame remains unresolved
SCR-HW-005,PXS-CONTAINMENT-SUMP,Containment recirculation screen assembly,debris_screen_assembly,UNRESOLVED,"envelope drawing APP-MY03-V2-001",Protects long-term containment-recirculation path,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-001,ACTIVE,Plant-specific assembly multiplicity/tag mapping retained in existing IRWST/recirculation register
SCR-HW-006,SCR-HW-005,Containment recirculation screen cartridge family,screen_cartridge_set,UNRESOLVED,"cartridge envelope drawing APP-MY03-V2-015",Replaceable/modular screen-media elements,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277 / APP-MY03-V2-015,ACTIVE,Inspection record APP-MY03-V2R-015 identified
SCR-HW-007,SCR-HW-001,Screen support/frame structure,structural_frame,UNRESOLVED,"ASME Section III Subsection NF stress acceptance used in qualification",Supports screen/cartridge assembly under seismic loading,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML19220B678 NRC seismic qualification review,ACTIVE,Resolve individual rails plates posts braces anchors clips bolts and welds from drawings/design report
SCR-HW-008,SCR-HW-001,Screen mesh/media,screen_media,UNRESOLVED,UNRESOLVED,Provides debris exclusion while maintaining credited flow area/head loss,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML19220B678;ML21314A277,ACTIVE,Exact perforation/mesh dimensions are already tracked in screen geometry register where public; preserve cartridge construction separately
SCR-DOC-001,SCR-HW-001,Screen design specification,document_reference,1,"APP-MY03-Z0-001 Rev.6",Controls safety-related IRWST and containment recirculation screen design,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0405;SRC-0407,ML21314A277 / UKP-GW-GL-060,REFERENCE_FOUND,
SCR-DOC-002,SCR-HW-001,Screen design report set,document_reference,1,"APP-MY03-VDR-001 Rev.1",AP1000 MY03 IRWST/containment recirculation screen design reports,VOGTLE-3,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
SCR-DOC-003,SCR-HW-001,Screen data sheet report,document_reference,1,"APP-MY03-Z0R-001 Rev.8",PXS containment recirculation and IRWST screen data sheet report,VOGTLE-3,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
SCR-DOC-004,SCR-HW-001,Screen configuration/design basis report,document_reference,1,"APP-GW-GLN-147 Rev.3",AP1000 containment recirculation and IRWST screen design,VOGTLE/AP1000,VERIFIED_PUBLIC,SRC-0405,ML21314A277,REFERENCE_FOUND,
PH-HW-001,PXS-PH-BASKETS,pH adjustment basket set,pH_adjustment_system,4,"stainless-steel baskets with mesh front; passive immersion/dissolution",Provides postaccident containment-water pH control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.4,ACTIVE,Four-basket quantity/tag family corroborated by certified design equipment list; current TSP inventory requirement must be taken from current licensing/TS basis rather than initial FSER mass alone
PH-HW-002,PH-HW-001,pH basket stainless structural body,basket_frame,4,UNRESOLVED,Contains granular trisodium phosphate while allowing floodwater contact,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.4,ACTIVE,Plate gauge perforations/braces/welds unresolved
PH-HW-003,PH-HW-001,pH basket mesh front,screen_media,4,UNRESOLVED,Permits containment floodwater contact with granular TSP,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.4,ACTIVE,Mesh size/material gauge and retention details require MY07 drawings
PH-HW-004,PH-HW-001,pH basket support/clip attachment set,structural_attachment,4 sets,UNRESOLVED,Anchors baskets to installed location for seismic qualification,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 / SV3-MY07-V1-001 and -002,ACTIVE,Installation-detail drawings specifically identify clips; exact clip count bolts/anchors/welds to extract from drawings
PH-HW-005,PH-HW-001,Installed elevation criterion,geometry_definition,4,"at least 1 ft above floor and below minimum postaccident flood-up level; initial generic description places baskets below Elevation 107 ft 2 in",Avoids inadvertent wetting from ordinary spills while ensuring passive accident immersion,AP1000-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.4,ACTIVE,Replace generic location with Unit 3 survey/as-built coordinates when found
PH-DOC-001,PH-HW-001,pH basket design specification,document_reference,1,"APP-MY07-Z0-001 Rev.4 in public Tier-3 index",Safety-related manufacturer-standard PXS pH adjustment baskets,AP1000,VERIFIED_PUBLIC,SRC-0407,UKP-GW-GL-060 Tier-3 specification index,REFERENCE_FOUND,
PH-DOC-002,PH-HW-001,pH basket structural evaluation,document_reference,1,"APP-MY07-Z0C-002 Rev.1",PXS pH adjustment basket evaluation including seismic analysis,VOGTLE-3,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
PH-DOC-003,PH-HW-001,Type 1 basket drawing,document_reference,1,"SV3-MY07-V0-001 Rev.0",AP1000 PXS pH adjustment basket Type 1,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,Do not infer which plant tag uses Type 1 until drawing/tag cross-reference is sourced
PH-DOC-004,PH-HW-001,Type 1 clip installation drawing,document_reference,1,"SV3-MY07-V1-001 Rev.0",Type 1 installation details for clips,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
PH-DOC-005,PH-HW-001,Type 2 basket drawing,document_reference,1,"SV3-MY07-V0-002 Rev.0",AP1000 PXS pH adjustment basket Type 2,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
PH-DOC-006,PH-HW-001,Type 2 clip installation drawing,document_reference,1,"SV3-MY07-V1-002 Rev.0",Type 2 installation details for clips,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
PH-DOC-007,PH-HW-001,Vogtle basket arrangement drawing,document_reference,1,"SV3-MY07-Z0-001 Rev.0",AP1000 PXS pH adjustment baskets,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,Priority source for tag-to-type/location mapping
PH-DOC-008,PH-HW-001,Vogtle pH basket data sheet report,document_reference,1,"SV3-MY07-Z0R-001 Rev.0",PXS pH adjustment basket data sheet,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,ML19220B678 Section 1A08,REFERENCE_FOUND,
