item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,interface_or_relationship,configuration,evidence_state,source_ids,source_locator,status,notes
CMT-PB-001,PXS-CMT-A/B,CMT pressure vessel,pressure_vessel,2,"2500 ft3 minimum/free internal volume each; vertical cylindrical vessel with hemispherical upper/lower heads",Contains normally cold borated water at RCS pressure,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 and Ch.6 Sec.6.3.2.1,ACTIVE,Instantiate A/B as separate physical vessels in plant overlay
CMT-PB-002,CMT-PB-001,Cylindrical shell,vessel_shell,2,"carbon/low-alloy steel pressure boundary with stainless-steel wetted cladding",Joins upper/lower heads,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 and Ch.6 Sec.6.3.2.1,ACTIVE,Exact shell course count thickness forging/plate specification and circumferential weld map remain unresolved
CMT-PB-003,CMT-PB-001,Hemispherical upper head,vessel_head,2,UNRESOLVED,Contains upper sample connection and pressure-balance/inlet interfaces as applicable,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,ACTIVE,Nozzle clocking and head thickness unresolved
CMT-PB-004,CMT-PB-001,Hemispherical lower head,vessel_head,2,UNRESOLVED,Contains CMT injection/outlet nozzle and lower sample connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,ACTIVE,
CMT-PB-005,CMT-PB-001,Internal stainless-steel cladding,pressure_boundary_cladding,2,UNRESOLVED,Provides corrosion-resistant wetted surface,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13.2 / Ch.6 Sec.6.3.2.1,ACTIVE,Exact cladding alloy/process/thickness to resolve from MT01 design/fabrication records
CMT-PB-006,CMT-PB-001,Pressure-balance inlet connection,cold_leg_balance_nozzle,2,UNRESOLVED,Connects each CMT to an RCS cold leg and maintains CMT at RCS pressure,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Exact nozzle size safe-end and weld geometry pending APP-MT01 records
CMT-PB-007,CMT-PB-006,Internal inlet diffuser,flow_diffuser,2,UNRESOLVED,Reduces steam/hot-water entry velocity and water-hammer/mixing during CMT operation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13.1 / Ch.6 Sec.6.3.2.1,ACTIVE,Perforation pattern dimensions supports and attachment welds unresolved
CMT-PB-008,CMT-PB-001,Injection/outlet nozzle,lower_head_nozzle,2,UNRESOLVED,Feeds CMT discharge line toward associated DVI line,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,ACTIVE,Inlet/outlet nozzle stress analysis tracked by APP-MT01-Z0R-011
CMT-PB-009,CMT-PB-001,Upper-head sample connection,sample_nozzle,2,UNRESOLVED,Provides upper CMT solution sampling,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,ACTIVE,Sample piping/root valve/destination to sampling system unresolved
CMT-PB-010,CMT-PB-001,Lower-head sample connection,sample_nozzle,2,UNRESOLVED,Provides lower CMT solution sampling,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,ACTIVE,
CMT-PB-011,CMT-PB-001,CVS fill connection,fill_nozzle,2,UNRESOLVED,Receives makeup/fill water from CVS,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Close exact CVS piping valve/tag route in CVS work package
CMT-PB-012,CMT-PB-001,Column support set,vessel_support,2 sets,UNRESOLVED,Supports each CMT above DVI nozzle elevation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0404,NUREG-1793 Ch.5 Sec.5.4.13.1 / APP-MT01-S2C-010 cited by NRC inspection,ACTIVE,Resolve count cross-sections baseplates anchors/welds and seismic load path from support analysis/drawings
CMT-PB-013,CMT-PB-001,Installed elevation relationship,geometry_definition,2,"CMTs located at containment floor elevation 107 ft; bottom inside surface >=7.5 ft above DVI nozzle centerline",Provides gravity head/geometric basis,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Plant-specific center coordinates remain unresolved
CMT-VENT-001,CMT-PB-006,CMT pressure-balance high-point vent line,vent_pipe_run,2,UNRESOLVED,High point of each CMT balance line to reactor coolant drain tank,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,BOUNDARY,Exact line tag size material slope routing supports unresolved
CMT-VENT-002,CMT-VENT-001,High-point vent manual isolation valve 1,manual_valve,2,UNRESOLVED,First of two series manual isolation valves,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Exact tag/type pending current P&ID
CMT-VENT-003,CMT-VENT-001,High-point vent manual isolation valve 2,manual_valve,2,UNRESOLVED,Second of two series manual isolation valves,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
CMT-DIS-001,CMT-PB-008,CMT discharge branch AOV set,air_operated_valve_set,4,"2 parallel normally closed fail-open AOVs per CMT",Opens on loss of air/electric power or control actuation to initiate injection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0420,NUREG-1793 Ch.6 Sec.6.3.2.1 / Vogtle COL component list V014A/B V015A/B,ACTIVE,Certified individual tags maintained in component registers
