record_id,isometric,revision,room_or_zone,service_or_path,resolution_level,evidence_state,source_ids,source_locator,status,resolved_now,still_unresolved,notes
PXS-U3-ISO-001,SV3-PXS-PLW-470,1,Containment Building Room 11206,Containment recirculation valves,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0425,ML22193A291 document list,ACTIVE,Drawing identity/service/room/revision,Full spool chain; valve orientation; tee/reducer geometry; weld IDs; support tags; elevations; branch line numbers,Do not infer geometry from title alone
PXS-U3-ISO-002,SV3-PXS-PLW-01H,2,Containment Building Room 11206,Containment recirculation to DVI-A,SUPPORT_INSTALLATION_ANCHOR,VERIFIED_PUBLIC,SRC-0206,ML21041A051 Sec.1A14,ACTIVE,"Drawing identity/service/room/revision; support-installation WP SV3-PXS-PHW-ME3359; support PXS-PH-11Y2059 Rev.1; weld map SV3-PXS-PHK-ME6342",Spool chain; exact line numbers; valve mapping; remaining support tags; dimensions/elevations; attachment geometry,Keep distinct from PLW-470 valve-area isometric
PXS-U3-ISO-003,SV3-PXS-PLW-010,0,Containment Building Room 11206 Module Q2-33,CMT-A discharge piping,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0421,ML19045A614 Sec.1A10,ACTIVE,Drawing identity/service/room/revision,Spool IDs; line-number allocation; branch split/recombine geometry; welds; supports; drain/test branches,CMT discharge elevation review FSK-800185 is separately tracked
PXS-U3-ISO-004,SV3-PXS-PLW-01K,1,Containment Building Room 11206,CMT-A discharge piping,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0421;SRC-0425,ML19045A614 Sec.1A10 / ML22193A291 document list,ACTIVE,Drawing identity/service/room/revision,Exact spool IDs; line numbers; V014A/V015A/V016A/V017A placement; test-valve tie-ins; supports; elevations,Hydrotest package later references this isometric family
PXS-U3-ISO-005,SV3-PXS-PLW-01V,1,Containment Building Room 11206,CMT-A discharge piping,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0421,ML19045A614 Sec.1A10,ACTIVE,Drawing identity/service/room/revision,Spool IDs; line-number allocation; valve welds; supports; drain/test branches; dimensions,Do not import Unit-4 weld numbers into Unit-3 model
PXS-U3-ISO-006,SV3-PXS-PLW-020,4,Containment Building Room 11207,Isolation valves to common injection header,PARTIAL_SPOOL_RESOLUTION,VERIFIED_PUBLIC,SRC-0425,ML22193A291 component/work-package list,ACTIVE,V016B installed with spool SV3-PXS-PLW-020-1F; room/service/revision,Remaining spools; V017B relation; all welds; supports; line numbers; dimensions,Work package SV3-PXS-P0W-800034 is a direct Unit-3 installation anchor
PXS-U3-ISO-007,SV3-PXS-PLW-02N,1,Containment Building Room 11207,IRWST and containment recirculation to DVI-B,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0421;SRC-0425,ML19045A614 / ML22193A291 document lists,ACTIVE,Drawing identity/service/room/revision,Line numbers; branch geometry; recirculation tie-in; valve placement; welds; supports; elevations,Resolve against PLW-470 and PLW-02U/02W/02X before canonical geometry
PXS-U3-ISO-008,SV3-PXS-PLW-02U,1,Containment Building Room 11207,IRWST and containment recirculation to DVI-B,VALVE_INSTALLATION_ANCHOR,VERIFIED_PUBLIC,SRC-0206;SRC-0421;SRC-0425,ML21041A051 Sec.1A13 / ML19045A614 / ML22193A291,ACTIVE,V125B installed per this isometric; inlet/outlet bolted-joint data sheets exist,Exact line number; adjacent fittings/spools; V124B relation; supports; elevation; flange/gasket/bolt details,Work package SV3-PXS-P0W-1057547 is 48 pages and is a high-value recovery target
PXS-U3-ISO-009,SV3-PXS-PLW-02W,1,Containment Building Room 11207,IRWST and containment recirculation to DVI-B,DOCUMENT_IDENTIFIED,VERIFIED_PUBLIC,SRC-0421,ML19045A614 drawing list,ACTIVE,Drawing identity/service/room/revision,Line numbers; branch role; valve placement; welds; supports; elevations,Exact relationship to 02N/02U/02X still unresolved
PXS-U3-ISO-010,SV3-PXS-PLW-02X,1,Containment Building Room 11207,IRWST and containment recirculation to DVI-B,FABRICATION_SPOOL_ANCHOR,VERIFIED_PUBLIC,SRC-0404;SRC-0421,ML17044A539 Sec.1A18 / ML19045A614,ACTIVE,"Drawing identity/service/room/revision; fabricated spool SV3-PXS-PLW-02X-2 purchase-slip traceability",Exact line number; full spool chain; valve placement; weld map; supports; elevations; fitting/flange details,Module Q2-33 NDE/hydrotest families are tracked separately
PXS-U3-ISO-011,SV3-PXS-PLW-022,,Containment Building Room 11207,Common injection header to DVI-B,WELD_NDE_ANCHOR,VERIFIED_PUBLIC,SRC-0406;SRC-0421,ML19135A691 Operational Readiness / ML19045A614,ACTIVE,Welds SW3 and FW4 have public preservice UT records,Complete spool geometry; heat numbers; support tags; exact current revision,Keep weld/NDE ledger synchronized
PXS-U3-ISO-012,SV3-PXS-PLW-025,,Containment Building Rooms 11204/11207,DVI-B to reactor vessel,WELD_NDE_ANCHOR,VERIFIED_PUBLIC,SRC-0406;SRC-0421,ML19135A691 Operational Readiness / ML19045A614,ACTIVE,FW1 has public preservice UT record,Complete spool geometry; supports; nozzle-side dimensions; exact current revision,Keep weld/NDE ledger synchronized
PXS-U3-ISO-013,SV3-PXS-PLW-026,2,Containment Building Rooms 11105/11204,DVI-B to reactor vessel,MATERIAL_SPOOL_ANCHOR,VERIFIED_PUBLIC,SRC-0421;SRC-0427,ML19045A614 / ML16312A506,ACTIVE,Spool SV3-PXS-PLW-026-1; line L021B; 8-in Schedule 160 SA-312 TP316LN seamless,Remaining spool pieces; bends/elbows; welds; supports; exact coordinates,Strong 1:1 material/diameter anchor for DVI-B
