record_id,tag_or_mark,equipment_name,component_type,parent_or_path,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-AUX-001,PXS-PL-V002A,CMT A inlet isolation motor-operated valve,motor_operated_valve,CMT A pressure-balance/inlet line,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A PXS as-built equipment listing,ACTIVE,Unit-4 as-built tag; reconcile against Unit-3/current generic P&ID before treating as plant-wide generic fact
PXS-AUX-002,PXS-PL-V002B,CMT B inlet isolation motor-operated valve,motor_operated_valve,CMT B pressure-balance/inlet line,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A PXS as-built equipment listing,ACTIVE,Unit-4 as-built tag; reconcile against Unit-3/current generic P&ID
PXS-AUX-003,PXS-PL-V022A,Accumulator A pressure relief valve,pressure_relief_valve,Accumulator A gas/pressure boundary,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A PXS as-built equipment listing,ACTIVE,Set pressure/capacity/discharge termination remain unresolved
PXS-AUX-004,PXS-PL-V022B,Accumulator B pressure relief valve,pressure_relief_valve,Accumulator B gas/pressure boundary,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A PXS as-built equipment listing,ACTIVE,Set pressure/capacity/discharge termination remain unresolved
PXS-AUX-005,PXS-PL-V119A,Containment recirculation A check valve,check_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 Unit-3 PXS preoperational check-valve testing,ACTIVE,Exact branch relationship to V118A/V120A and MOV to be closed from current P&ID
PXS-AUX-006,PXS-PL-V119B,Containment recirculation B check valve,check_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 Unit-3 PXS preoperational check-valve testing,ACTIVE,Exact branch relationship to V118B/V120B and MOV to be closed from current P&ID
PXS-AUX-007,PXS-PL-V109,PRHR HX return maintenance isolation valve,gate_valve,PRHR return line PXS-L104B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,ADAMS ML18226A348 Sec.1A40 upstream of gate valve PXS-PL-V109 on PRHR return line PXS-L104B,ACTIVE,Actuator/normal administrative position and exact operator details to resolve from current P&ID/datasheet
PXS-AUX-008,PXS-PL-V108B,PRHR HX control air-operated ball valve,air_operated_ball_valve,PRHR line PXS-L104B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,ADAMS ML18226A348 Sec.1A40 field weld joins spool PXS-PLW-041-2 to PXS-PL-V108B,ACTIVE,Confirms valve body type for V108B on Unit 3; V108A body type requires separate confirmation
PXS-AUX-009,,IRWST injection line A motor-operated isolation valve,motor_operated_valve,IRWST injection train A,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 preoperational flow-resistance test description,UNRESOLVED,Existence and function confirmed; exact Unit-3 tag not yet resolved from controlling public source
PXS-AUX-010,,IRWST injection line B motor-operated isolation valve,motor_operated_valve,IRWST injection train B,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 preoperational flow-resistance test description,UNRESOLVED,Existence and function confirmed; exact Unit-3 tag not yet resolved
PXS-AUX-011,,Containment recirculation A motor-operated valve,motor_operated_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 preoperational recirculation check-valve test description,UNRESOLVED,Existence confirmed; exact Unit-3 tag/branch location not yet resolved
PXS-AUX-012,,Containment recirculation B motor-operated valve,motor_operated_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0412,ADAMS ML19161A102 / ML20287A408 preoperational recirculation check-valve test description,UNRESOLVED,Existence confirmed; exact Unit-3 tag/branch location not yet resolved
PXS-AUX-013,PXS-PL-V027A,Accumulator A discharge isolation valve,motor_operated_or_isolation_valve,Accumulator injection train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 412-414,ACTIVE,Valve actuator/body type/normal administrative lockout details to reconcile with generic DCD and Unit-3 P&ID
PXS-AUX-014,PXS-PL-V027B,Accumulator B discharge isolation valve,motor_operated_or_isolation_valve,Accumulator injection train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 415-416,ACTIVE,
PXS-AUX-015,PXS-PL-V042,Nitrogen supply containment isolation valve,isolation_valve,Accumulator nitrogen supply boundary,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 430-434,ACTIVE,Upstream nitrogen source/regulator/header and exact valve type unresolved
PXS-AUX-016,PXS-PL-V043,Nitrogen supply containment isolation check valve,check_valve,Accumulator nitrogen supply boundary,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 435-438,ACTIVE,Exact sequence relative to V042 and containment penetration to close from P&ID
PXS-AUX-017,PXS-PL-V101,PRHR HX inlet isolation motor-operated valve,motor_operated_valve,PRHR inlet line,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 440-442,ACTIVE,Separate from parallel PRHR control AOVs V108A/B; exact location/order to close from P&ID/isometric
PXS-AUX-018,PXS-PL-V117A,Containment recirculation A isolation motor-operated valve,motor_operated_valve,Containment recirculation train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 447-451,ACTIVE,Unit-3 preoperational source independently confirms existence of containment recirculation A MOV but does not expose tag
PXS-AUX-019,PXS-PL-V117B,Containment recirculation B isolation motor-operated valve,motor_operated_valve,Containment recirculation train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 452-455,ACTIVE,Unit-3 preoperational source independently confirms existence of containment recirculation B MOV but does not expose tag
PXS-AUX-020,PXS-PL-V118A,Containment recirculation A squib valve,squib_valve,Containment recirculation train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 457-459,ACTIVE,One of two squib-valve branches
PXS-AUX-021,PXS-PL-V118B,Containment recirculation B squib valve,squib_valve,Containment recirculation train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 460-462,ACTIVE,
PXS-AUX-022,PXS-PL-V120A,Containment recirculation A squib valve,squib_valve,Containment recirculation train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 478-480,ACTIVE,Second recirculation squib-valve branch
PXS-AUX-023,PXS-PL-V120B,Containment recirculation B squib valve,squib_valve,Containment recirculation train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 481-482,ACTIVE,
PXS-AUX-024,PXS-PL-V122A,IRWST injection A check valve,check_valve,IRWST injection train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 484-486,ACTIVE,Unit-3 transfer-open/closed testing independently confirmed by SRC-0412
PXS-AUX-025,PXS-PL-V122B,IRWST injection B check valve,check_valve,IRWST injection train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 487-489,ACTIVE,Unit-3 transfer-open/closed testing independently confirmed by SRC-0412
PXS-AUX-026,PXS-PL-V123A,IRWST injection A squib valve,squib_valve,IRWST injection train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 490-492,ACTIVE,
PXS-AUX-027,PXS-PL-V123B,IRWST injection B squib valve,squib_valve,IRWST injection train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 493-495,ACTIVE,
PXS-AUX-028,PXS-PL-V124A,IRWST injection A check valve,check_valve,IRWST injection train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 496-498,ACTIVE,Second parallel check/squib branch
PXS-AUX-029,PXS-PL-V124B,IRWST injection B check valve,check_valve,IRWST injection train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 499-501,ACTIVE,
PXS-AUX-030,PXS-PL-V125A,IRWST injection A squib valve,squib_valve,IRWST injection train A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 502-504,ACTIVE,
PXS-AUX-031,PXS-PL-V125B,IRWST injection B squib valve,squib_valve,IRWST injection train B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment A lines 505-506,ACTIVE,
