item_id,parent_id,part_or_assembly_name,object_type,quantity,nominal_data,relationship,evidence_state,source_ids,source_locator,status,notes
PZR-001,RCS-PZR,Pressurizer vessel,pressure_vessel,1,"Design pressure 2485 psig; design temperature 680 F; internal volume 2100 ft3",Maintains RCS pressure using saturated liquid/steam equilibrium,VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Tier 2 Sec.5.4.5 and Table 5.4-9 / NUREG-1793 Ch.5,ACTIVE,Shell diameter/overall height intentionally left unresolved until direct R19 extraction is obtained
PZR-002,PZR-001,Cylindrical shell,vessel_shell,1,UNRESOLVED,Main cylindrical vessel pressure boundary,VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Tier 2 Sec.5.4.5 / NUREG-1793 Ch.5,ACTIVE,Course count thickness material and weld map unresolved
PZR-003,PZR-001,Hemispherical top head,vessel_head,1,UNRESOLVED,Contains spray and safety/depressurization header nozzles,VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Tier 2 Secs.5.1.3.5 and 5.4.5,ACTIVE,
PZR-004,PZR-001,Hemispherical bottom head,vessel_head,1,UNRESOLVED,Contains surge-line nozzle and electrical-heater penetrations,VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Tier 2 Secs.5.1.3.5 and 5.4.5,ACTIVE,
PZR-005,PZR-003,Pressurizer spray nozzle,reactor_coolant_nozzle,1,"4 in nominal diameter",Receives spray flow for pressure reduction/mixing and pressurizer fill functions,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-9 and Sec.5.1.3.5,ACTIVE,Safe-end material/weld/geometry unresolved
PZR-006,PZR-003,Safety/depressurization inlet-header nozzle,steam_nozzle,2,"14 in nominal diameter safety-valve nozzle basis",Connects top steam space to safety and automatic-depressurization inlet-header arrangements,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-9 and Sec.5.1.3.5,ACTIVE,Exact division between safety-valve and ADS connections to be closed against P&ID/figure
PZR-007,PZR-004,Surge-line nozzle,reactor_coolant_nozzle,1,"18 in nominal diameter",Connects bottom of pressurizer to one RCS hot leg through surge line,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-9 and Sec.5.1.3.5,ACTIVE,Nozzle safe-end/material/weld geometry unresolved
PZR-008,RCS-PZR-SURGE,Pressurizer surge-line pipe run,pipe_run,1,"18 in nominal; SA-312 TP316LN; representative full-power LBB point 653 F / 2248 psig",Transfers insurge/outsurge flow between hot leg and pressurizer,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Appendix 3B Table 3B-1 / Figure 5.4-4,ACTIVE,Exact as-built centerline route split among APP-RCS-PLW-041/-042/-043 evidence queue
PZR-009,RCS-PZR-SURGE,Surge-line RTD instrumentation,temperature_instrumentation,UNRESOLVED,Resistance temperature detectors attached to pipe,Detects thermal stratification and pressurizer insurge conditions,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.1.1/5.1.2 instrumentation provisions,ACTIVE,Count tag locations cables/JBs/channels unresolved
PZR-010,PZR-005,Normal pressurizer spray flow path,process_flow_interface,1,UNRESOLVED,Uses differential pressure from cold-leg spray sources to common spray line/nozzle,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.4.5 / Fig.5.1-1,ACTIVE,Exact spray source cold legs/valves/orifices to extract from R19 P&ID
PZR-011,PZR-005,CVS auxiliary spray interface,system_boundary_interface,1,UNRESOLVED,Provides CVS flow path to pressurizer spray line for startup/fill/chemistry functions,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.4.5 and Ch.9 CVS startup description,BOUNDARY,Detailed CVS hardware owned by CVS work package
PZR-012,PZR-001,Electrical heater system,heater_system,1,"480 Vac; 60 Hz",Maintains/increases RCS pressure by adding heat to pressurizer liquid,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,Individual immersion-heater count and per-element wattage remain unresolved
PZR-013,PZR-012,Control heater group,electrical_heater_group,1,"370 kW",Proportional/control heater capacity,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,
PZR-014,PZR-012,Backup heater group A,electrical_heater_group,1,"245 kW",Backup heater capacity,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,
PZR-015,PZR-012,Backup heater group B,electrical_heater_group,1,"245 kW",Backup heater capacity,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,
PZR-016,PZR-012,Backup heater group C,electrical_heater_group,1,"370 kW",Backup heater capacity,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,
PZR-017,PZR-012,Backup heater group D,electrical_heater_group,1,"370 kW",Backup heater capacity,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Table 5.4-10,ACTIVE,
PZR-018,PZR-004,Removable electrical heater penetration set,heater_penetration_set,UNRESOLVED,UNRESOLVED,Heaters penetrate bottom head and are removable for replacement,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.1.3.5,ACTIVE,Count heater wells/seals/flanges/cable connectors to resolve from pressurizer GA/equipment documentation
