boundary_id,configuration,rcs_object_or_port,connected_system,connected_function,publicly_resolved_connection,evidence_state,source_ids,source_locator,status,next_required_resolution
RCS-XB-001,AP1000-DCD-R19-GENERIC,Each RCP stator cooling jacket,CCS,Component cooling water supply/return,Revision-19 generic-pump design uses CCS as the heat sink for the RCP stator cooling jacket,VERIFIED_PUBLIC,SRC-0202,TR-34 Sec.4.0,OPEN_BOUNDARY,Resolve individual CCS supply/return branch IDs valves orifices instruments pipe sizes supports and exact jacket ports in CCS work package
RCS-XB-002,AP1000-DCD-R19-GENERIC,Each RCP external motor-cavity shell-and-tube heat exchanger,CCS,Secondary-side heat rejection,Revision-19 generic-pump design replaces the earlier wraparound motor exchanger with a conventional externally mounted shell-and-tube heat exchanger whose heat sink/interface is CCS,VERIFIED_PUBLIC,SRC-0201;SRC-0202,76 FR 82079 Item 11 / TR-34 Sec.4.0,OPEN_BOUNDARY,Resolve HX secondary-side inlet/outlet branch IDs isolation/control valves pipe sizes instruments relief/drain/vent paths and support details in CCS work package
RCS-XB-002A,AP1000-DCD-R19-GENERIC,RCP thermal-barrier preliminary cooling heat exchanger,CCS,Obsolete preliminary interface,The preliminary thermal-barrier heat exchanger was eliminated in the certified generic-pump change and shall not be modeled as Revision-19 hardware,VERIFIED_PUBLIC,SRC-0202,TR-34 Sec.4.0,CONFIRMED_ABSENT,Retain historical configuration note only; thermal barrier remains as a component but not as the obsolete heat exchanger
RCS-XB-003,AP1000-DCD-R19-GENERIC,Pressurizer normal spray interface,RCS cold legs,Normal pressurizer spray,Normal spray uses RCS differential pressure from cold-leg spray sources to the common spray line/nozzle,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.4.5 / Fig.5.1-1,OPEN_BOUNDARY,Resolve exact source cold legs root valves check valves control valves bypass/restrictors line sizes and routing from R19 P&ID
RCS-XB-004,AP1000-DCD-R19-GENERIC,Pressurizer auxiliary spray interface,CVS,Auxiliary spray/fill/chemistry flow,CVS provides an auxiliary spray/fill path to the pressurizer spray line,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.4.5 and CVS descriptions,OPEN_BOUNDARY,Resolve CVS source line tag isolation/check/control hardware and connection point
RCS-XB-005,AP1000-DCD-R19-GENERIC,Reactor vessel DVI nozzle A,PXS,Direct vessel injection,PXS connects to one of two dedicated reactor-vessel DVI nozzles,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,OPEN_BOUNDARY,Resolve nozzle A plant orientation safe-end weld DVI line tag check/isolation hardware and PXS train ownership
RCS-XB-006,AP1000-DCD-R19-GENERIC,Reactor vessel DVI nozzle B,PXS,Direct vessel injection,PXS connects to second dedicated reactor-vessel DVI nozzle,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,OPEN_BOUNDARY,Resolve nozzle B plant orientation safe-end weld DVI line tag check/isolation hardware and PXS train ownership
RCS-XB-007,AP1000-DCD-R19-GENERIC,RNS suction boundary line group L139,RNS,Normal residual heat removal suction,20-in nominal RNS suction boundary from RCS is identified in the Revision-19 LBB line table,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Appendix 3B Table 3B-1,OPEN_BOUNDARY,Resolve exact RCS connection location root isolation valves branch fitting reducers and RNS suction header topology
RCS-XB-008,AP1000-DCD-R19-GENERIC,PRHR/ADS branch group L135A/B L136A/B L133A/B L137A/B L134,PXS/PRHR/ADS,Passive residual heat removal and depressurization branches,Revision-19 pressure-boundary table identifies 18-in and 14-in branch groups but not enough alone for final functional mapping,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Appendix 3B Table 3B-1,REQUIRES_PID_RECONCILIATION,Map each line ID to PRHR versus ADS stage/function and exact RCS connection using R19 P&IDs before creating final graph
RCS-XB-009,AP1000-DCD-R19-GENERIC,ADS branch group L004A/B L006A/B L020A/B L030A/B L131,PXS/ADS,Automatic depressurization stages,14-in nominal ADS pressure-boundary branch group is identified in Revision-19 LBB table,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Appendix 3B Table 3B-1,REQUIRES_PID_RECONCILIATION,Resolve each branch source header series/parallel valves discharge destination and support modules from R19/Vogtle P&IDs and ITAAC
RCS-XB-010,VOGTLE-3-CURRENT-PUBLIC,Reactor vessel head vent pressure-boundary outlet,PXS/RVHVS,Reactor vessel head vent,Vogtle public construction records identify reactor-head-vent line work packages SV3-RCS-PLW-233 and SV3-RCS-PLW-236,VERIFIED_PUBLIC,SRC-0206,NRC public construction inspection record,REFERENCE_FOUND,Retrieve/resolve the two line work packages and map root nozzle isolation valves line segments supports discharge destination and indication
RCS-XB-011,AP1000-DCD-R19-GENERIC,Pressurizer safety valve leakage drains,WLS / reactor coolant drain tank,Condensed leakage drainage,Each pressurizer safety-valve discharge train has a leakage-drain connection to the reactor coolant drain tank,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1,OPEN_BOUNDARY,Resolve branch size slope root/isolation hardware drain header and RCDT nozzle in WLS package
RCS-XB-012,AP1000-DCD-R19-GENERIC,RCS pressure/temperature/level/flow taps,I&C / protection systems,Process instrumentation,RCS components have multiple process instrumentation interfaces used by control protection indication and monitoring,VERIFIED_PUBLIC,SRC-0002;SRC-0007,Rev.19 Ch.5/7 and AP1000 technical specifications,OPEN_BOUNDARY,Build complete tap-root-valve-impulse-line-sensor-transmitter-JB-cable-channel-destination graph rather than stopping at instrumentation set
