item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,load_or_interface_path,configuration,evidence_state,source_ids,source_locator,status,notes
IHP-STR-001,RXS-IHP,IHP structural assembly,integrated_structural_assembly,1,"Safety-related; Seismic Category I; AP1000 Class C / ASME Section III Class 3 structural support basis",Integrates reactor-head lifting/support/cabling/head-vent/seismic-restraint functions,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Subsection NF design rules apply to structural support portions described by NRC
IHP-STR-002,IHP-STR-001,CRDM seismic restraint structure,seismic_restraint_structure,1,"Seismic Category I; AP1000 Class C / ASME Class 3",CRDM rod-travel housings -> restraint structure -> shroud/interface -> reactor vessel head,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Deflection is limited so drive rods do not bind and CRDM pressure-boundary bending remains acceptable
IHP-STR-003,IHP-STR-001,Shroud assembly,protective_structural_shroud,1,"Seismic Category I; AP1000 Class C / ASME Class 3",Interfaces with CRDM seismic restraint and head structure,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Exact panels/frames/doors/bolting/duct penetrations require DCD figure/vendor drawing extraction
IHP-STR-004,IHP-STR-001,Lifting rig,lifting_device,1,"IHP special lifting device interfaces polar crane to reactor vessel head assembly",Polar crane main hook -> IHP lifting rig -> head lifting load path -> reactor vessel closure head,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012;SRC-0014,NUREG-1793 Ch.3 Sec.3.9.7 / DCD Ch.9 special lifting-device basis,ACTIVE,Exact rated load geometry pins/shackles/rod diameters require dedicated lifting drawings
IHP-STR-005,IHP-STR-004,Lift-leg set,lift_leg_set,UNRESOLVED,UNRESOLVED,Transfers rig load toward vessel-head lifting interfaces,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS configuration-change description,ACTIVE,Count and geometry to resolve from current IHP drawing; do not import generic patent geometry
IHP-STR-006,IHP-STR-004,Sling block,lifting_block,1,UNRESOLVED,Collects/distributes lift-rig loads,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,ACTIVE,
IHP-STR-007,IHP-STR-004,Clevis and sling-rod set,lifting_linkage_set,UNRESOLVED,UNRESOLVED,Mechanical linkage between lift structure and crane-interface rig,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS,ACTIVE,Every clevis pin nut retainer and rod-end interface remains to resolve from drawing
IHP-STR-008,IHP-STR-001,Reactor-head vent piping/valve support structure,piping_support_structure,1,UNRESOLVED,Supports safety-related head-vent piping/valves carried with IHP,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Head-vent process piping remains RCS/PXS boundary; support hardware belongs here
IHP-STR-009,IHP-STR-001,Messenger tray and cable-support structure,cable_support_structure,1,UNRESOLVED,Supports head electrical/I&C cable runs and rapid-disconnect arrangement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Resolve tray sections guides clamps bend radii connector-panel supports and grounding/bonding
IHP-STR-010,IHP-STR-001,In-core instrumentation support structure,instrumentation_support_structure,1,UNRESOLVED,Supports incore instrumentation cabling/connectors/head-interface hardware,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0012,NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,Reconcile against Revision-19 Quickloc implementation so obsolete guide structures are not modeled
