connection_id,from_port_id,to_port_id,connection_class,service_or_medium,nominal_size,evidence_state,source_ids,source_locator,status,notes
PXS-CONN-001,PXS-CMT-A-INJ-OUT,PXS-CMT-INJ-A-IN,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,ACTIVE,CMT A lower-head outlet into canonical injection path
PXS-CONN-002,PXS-CMT-INJ-A-OUT,PXS-DVI-A-CMT,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Valve/check/orifice sequence retained in detailed CMT register
PXS-CONN-003,PXS-CMT-B-INJ-OUT,PXS-CMT-INJ-B-IN,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CONN-004,PXS-CMT-INJ-B-OUT,PXS-DVI-B-CMT,pressure_boundary_flow,borated reactor coolant,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,
PXS-CONN-005,PXS-ACC-A-OUT,PXS-ACC-INJ-A-IN,pressure_boundary_flow,borated water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-CONN-006,PXS-ACC-INJ-A-OUT,PXS-DVI-A-ACC,pressure_boundary_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Isolation MOV/orifice/two swing checks retained in detailed accumulator register
PXS-CONN-007,PXS-ACC-B-OUT,PXS-ACC-INJ-B-IN,pressure_boundary_flow,borated water,,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-CONN-008,PXS-ACC-INJ-B-OUT,PXS-DVI-B-ACC,pressure_boundary_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,
PXS-CONN-009,PXS-IRWST-INJ-A-SRC,PXS-IRWST-INJ-A-IN,gravity_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
PXS-CONN-010,PXS-IRWST-INJ-A-OUT,PXS-DVI-A-IRWST,gravity_flow,borated water,,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,MOV plus parallel check/squib branch topology retained in detailed IRWST register
