item_id,parent_id,part_or_assembly_name,object_type,quantity,nominal_dimension_or_material,relationship,evidence_state,source_ids,source_locator,status,notes
RV-001,RCS-RV,Reactor vessel pressure-boundary assembly,pressure_vessel,1,"Design pressure 2485 psig; design temperature 650 F",Contains core and reactor coolant pressure boundary,VERIFIED_PUBLIC,SRC-0002,AP1000 DCD Rev.19 Tier 2 Sec.5.3 / Table reactor vessel design parameters,ACTIVE,Overall vessel/closure-head height to top of CRDM approximately 45 ft 9 in
RV-002,RV-001,Upper shell forging,vessel_shell_forging,1,"SA-508 Grade 3 Class 1; austenitic stainless internal cladding",Upper cylindrical pressure-boundary shell containing primary and DVI nozzles,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Secs.5.2-5.3,ACTIVE,Large ring forging; nozzle construction may be integral or set-in per DCD
RV-003,RV-001,Lower shell forging,vessel_shell_forging,1,"SA-508 Grade 3 Class 1; austenitic stainless internal cladding",Lower cylindrical pressure-boundary shell,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Secs.5.2-5.3,ACTIVE,Welded to upper shell and transition ring
RV-004,RV-001,Transition ring,vessel_transition_ring,1,"Low-alloy steel with stainless internal cladding",Connects lower shell to hemispherical bottom head,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1,ACTIVE,Exact forging/material callout to resolve from vessel drawing/material table
RV-005,RV-001,Hemispherical bottom head,vessel_head,1,"Minimum thickness 6 in; low-alloy steel with austenitic stainless cladding",Bottom pressure-boundary closure,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3 / design parameter table,ACTIVE,Shallower AP1000 bottom-head geometry to be captured from figure dimensions
RV-006,RV-001,Removable flanged hemispherical closure head,closure_head_forging,1,"Single forging; closure-head thickness 6.25 in; inner spherical radius 77.5 in",Removable upper pressure-boundary closure for refueling,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Secs.5.3.1 and 5.3.4,ACTIVE,Single forging incorporates closure-head flange and dome
RV-007,RV-006,Closure-head flange,integral_flange,1,"Outer diameter 188 in; inner diameter 148.81 in",Bolted connection to vessel body,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4 / design parameter table,ACTIVE,Integral with closure-head forging
RV-008,RV-001,Internal austenitic stainless-steel cladding,pressure_boundary_cladding,1,"Nominal thickness 0.22 in",Corrosion-resistant wetted surface on low-alloy vessel material,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3 design parameter table,ACTIVE,Cladding extends across bottom of closure-head flange for refueling purposes
RV-009,RV-002,Cold-leg inlet nozzle,reactor_vessel_nozzle,4,"22 in inside diameter",Receives reactor coolant from four cold legs,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Nozzle centerlines 62.5 in below vessel flange mating surface
RV-010,RV-002,Hot-leg outlet nozzle,reactor_vessel_nozzle,2,"31 in inside diameter",Supplies reactor coolant to two hot legs,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Nozzle centerlines 80 in below vessel flange mating surface; inlet/outlet planes offset 17.5 in
RV-011,RV-002,Direct vessel injection nozzle,reactor_vessel_nozzle,2,"6.81 in inside diameter; interfaces to 8-in Schedule 160 pipe",PXS direct-vessel-injection boundary into downcomer annulus,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.4,ACTIVE,Centerlines 100 in below main flange mating surface; downstream PXS piping owned by PXS
RV-012,RV-009,Integral vessel support pad,nozzle_support_pad,4,Integral with each of four inlet nozzles,Transfers vessel weight/load to support system,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1,ACTIVE,One support pad per inlet nozzle
RV-013,RV-012,Steel base pad,support_base_pad,4,UNRESOLVED,Receives integral nozzle support pad and provides sliding interface,VERIFIED_PUBLIC,SRC-0002,Rev.19 Tier 2 Sec.5.3.1,ACTIVE,Exact plate dimensions/material/surface treatment unresolved
