item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,relationship,evidence_state,source_ids,source_locator,status,notes
ADS-S13-GROUP-A,ADS-001,ADS stages 1-3 valve group A,valve_module_group,1,"One two-valve series path for each of stages 1 2 and 3",Mounted on pressurizer safety/relief-valve module and separated from group B,VERIFIED_PUBLIC,SRC-0011;SRC-0002,NUREG-1793 Ch.5 Sec.5.4.6 / DCD Rev.19,ACTIVE,One of two redundant divisions; exact steel module/support members tracked with RCS structural package
ADS-S13-GROUP-B,ADS-001,ADS stages 1-3 valve group B,valve_module_group,1,"One two-valve series path for each of stages 1 2 and 3",Mounted on pressurizer safety/relief-valve module at different elevation from group A with steel-plate separation,VERIFIED_PUBLIC,SRC-0011;SRC-0002,NUREG-1793 Ch.5 Sec.5.4.6 / DCD Rev.19,ACTIVE,Exact module elevation/support drawing pending
ADS-S1-ROLE-A,ADS-S1-A,Stage 1A valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,Stage 1 control valve can be modulated for controlled partial depressurization
ADS-S1-ROLE-B,ADS-S1-B,Stage 1B valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,
ADS-S2-ROLE-A,ADS-S2-A,Stage 2A valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,
ADS-S2-ROLE-B,ADS-S2-B,Stage 2B valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,
ADS-S3-ROLE-A,ADS-S3-A,Stage 3A valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,
ADS-S3-ROLE-B,ADS-S3-B,Stage 3B valve-role definition,valve_role_definition,1,"Upstream isolation MOV + downstream control/depressurization MOV; both normally closed",Defines functional roles within two-valve series path,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,ACTIVE,
ADS-VB-A,ADS-COMMON-A,ADS common discharge vacuum breaker A,vacuum_breaker,1,UNRESOLVED,Limits post-discharge vacuum caused by steam condensation and prevents liquid backflow/water-hammer from IRWST,VERIFIED_PUBLIC,SRC-0011;SRC-0002,NUREG-1793 Ch.5 Sec.5.4.6 / DCD Rev.19 LBB water-hammer design features,ACTIVE,Quantity one per common discharge line is topology allocation pending direct P&ID confirmation; hardware/type/setpoint unresolved
ADS-VB-B,ADS-COMMON-B,ADS common discharge vacuum breaker B,vacuum_breaker,1,UNRESOLVED,Limits post-discharge vacuum caused by steam condensation and prevents liquid backflow/water-hammer from IRWST,VERIFIED_PUBLIC,SRC-0011;SRC-0002,NUREG-1793 Ch.5 Sec.5.4.6 / DCD Rev.19 LBB water-hammer design features,ACTIVE,Same qualification caveat as A; final tag/location from current P&ID
ADS-S1-ACT,ADS-001,Stage 1 automatic actuation logic,control_function,1,Low CMT level initiates Stage 1,Initiates first depressurization stage; valves remain open after automatic actuation,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases B 3.4.11,BOUNDARY,Detailed PMS logic voting/setpoint and I&C hardware owned by control/protection work package
ADS-S2-ACT,ADS-001,Stage 2 automatic actuation logic,control_function,1,Stage 1 signal plus time delay,Initiates second depressurization stage,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases B 3.4.11,BOUNDARY,
ADS-S3-ACT,ADS-001,Stage 3 automatic actuation logic,control_function,1,Stage 1 signal plus longer time delay,Initiates third depressurization stage,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases B 3.4.11,BOUNDARY,
ADS-S4-ACT,ADS-001,Stage 4 automatic actuation logic,control_function,1,Low-2 CMT level with minimum delay after Stage 3 and normal-pressure block,Initiates fourth-stage squib valves after sufficient prior depressurization,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases B 3.4.11,BOUNDARY,
ADS-POWER,ADS-001,ADS Class 1E DC power boundary,electrical_power_boundary,1,DC/battery-backed power,Provides power for required MOV actuation and ADS control capability,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / Tech Spec Bases,BOUNDARY,Exact divisions buses breakers cables terminal boxes and battery source to close in electrical package
