connection_id,from_port_id,to_port_id,connection_class,service_or_medium,nominal_size,evidence_state,source_ids,source_locator,status,notes
ADS-CONN-001,ADS-PZR-BND-OUT,ADS-PZR-HDR-IN,pressure_boundary_flow,reactor coolant steam,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,Exact nozzle/header spool geometry unresolved
ADS-CONN-002,ADS-PZR-HDR-S1A,V011A-IN,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,Exact spool fittings welds supports and drains unresolved
ADS-CONN-003,V011A-OUT,V001A-IN,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
ADS-CONN-004,V001A-OUT,ADS-COMMON-A-S1,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / AP1000 Tech Specs,ACTIVE,
ADS-CONN-005,ADS-PZR-HDR-S1B,V011B-IN,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-CONN-006,V011B-OUT,V001B-IN,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
ADS-CONN-007,V001B-OUT,ADS-COMMON-B-S1,pipe_segment,reactor coolant steam,4 in,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / AP1000 Tech Specs,ACTIVE,
ADS-CONN-008,ADS-PZR-HDR-S2A,V012A-IN,pipe_segment,reactor coolant steam,8 in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-CONN-009,V012A-OUT,V002A-IN,pipe_segment,reactor coolant steam,8 in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
ADS-CONN-010,V002A-OUT,ADS-COMMON-A-S2,pipe_segment,reactor coolant steam,8 in,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / AP1000 Tech Specs,ACTIVE,
ADS-CONN-011,ADS-PZR-HDR-S2B,V012B-IN,pipe_segment,reactor coolant steam,8 in,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
