gate_id,target_component,closure_domain,target_record_or_family,evidence_state,source_ids,gate_status,known_now,required_to_close,promotion_rule,blocked_inferences,cross_reference
"PXS-U3-RNSB-GATE-001","SV3-RNS-PL-V002B","EXACT_INSTALLED_SETUP_CONFIGURATION","SV3-PV01-VDR-000002 Rev.2 - PV01 Valve Information for Valve Set-up","VERIFIED_PUBLIC","SRC-0468","OPEN_PUBLIC_INDEX_ONLY","The controlled Unit-3 setup-table document title/revision is public; V002B is independently a PV01 MOV","Recover the V002B row and its explicit datasheet, valve/operator configuration, stem/travel/gearing, switch/setup, motor and linked calculation/assembly references","Promote only values printed in the V002B row or an explicit complete V001/V002-set row; retain revision provenance","No neighboring PV01 setup row; no sibling valve setup; no guessed Datasheet 116 mapping; no guessed Limitorque size or gearing","unit3_rns_v002b_document_index_targets.csv PXS-U3-RNSDOCIDX-011; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-001"
"PXS-U3-RNSB-GATE-002","SV3-RNS-PL-V002B","ACTUATOR_SIZING_AND_REQUIRED_LOAD","APP-PV01-VDR-000001 Rev.2 / WCAP-18549","VERIFIED_PUBLIC","SRC-0478;SRC-0604","OPEN_PUBLIC_INDEX_ONLY","NRC identifies the PV01 actuator-sizing and Vogtle minimum-required-thrust calculation routes; generic V001/V002 sizing evidence provides 450-psig normal and 600-psig design differential-pressure constraints","Recover the V002B or explicit Datasheet-116 calculation row: geometry, valve/stem/packing friction, gearing/efficiency, degraded motor voltage, required thrust/torque, capability, uncertainty and margins","Close only from the controlled V002B/116 calculation or an explicit complete-set calculation mapping and reconcile it to diagnostic as-left data","No final V002B thrust/torque computed from 600 psig plus guessed geometry/friction; no transfer from Datasheets 099/110 or qualification test articles","unit3_rns_v002b_design_model_recovery_schema.csv MODEL-003/005/011/012/015; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-002"
"PXS-U3-RNSB-GATE-003","SV3-RNS-PL-V002B","FINAL_ASBUILT_EQ_RECONCILIATION","Final RNS Index-361 EQRR / Principal Closure Document - exact identifier unresolved","CORROBORATED_PUBLIC","SRC-0495;SRC-0496;SRC-0497;SRC-0701","OPEN_IDENTIFIER_NOT_EXPOSED","V002B is explicitly in the Unit-3 RNS EQRR population and directly mapped to APP-PV01-VBR-011/-012; the EQRR process verifies installed make/model/serial, orientation, anchorage, clearances and interfaces; planning records retain XXX/PCDXXX placeholders","Recover the exact completed RNS EQRR/PCD identifier and V002B final row including valve/operator/motor make-model-serial, datasheet, orientation/location, anchorage/clearances, electrical interfaces, installation references and deviations","Promote installed identity/geometry only from the V002B final as-built row or an explicit complete-set current mapping","No guessed PCD001/002 filename; no qualification-family model/serial treated as installed hardware; no sibling EQRR row substituted","unit3_rns_v002b_eqrr_retrieval_traceability.csv; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-003"
"PXS-U3-RNSB-GATE-004","SV3-RNS-PL-V002B","STATIC_DIAGNOSTIC_AND_PST_RESULTS","SV3-RNS-T0W-1237493 / CWA 3-21-0403","VERIFIED_PUBLIC","SRC-0460;SRC-0601;SRC-0602","OPEN_PUBLIC_INDEX_ONLY","NRC directly identifies V002B in the sampled MOV static-diagnostic/PST population and exposes the tag-specific retest-package identity; separate containment testing verifies 30-s closure","Recover raw/result sheets, sensors/calibration, synchronized thrust/torque/travel, DC current/voltage, torque/limit-switch events, running/packing load, stroke segmentation and as-found/as-left setup/acceptance","Use diagnostic values only with their calibration/uncertainty chain and reconcile static output to the controlled design-load calculation before reporting design margin","No linear 30-s motion profile; no assumed QUIKLOOK sensor suite; no static-output-equals-600-psig-capability shortcut; no generic Limitorque current/torque values","unit3_rns_v002b_diagnostic_recovery_schema.csv DIAG-001 through DIAG-012; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-004"
"PXS-U3-RNSB-GATE-005","SV3-RNS-PL-V002B","EXACT_VALVE_YOKE_OPERATOR_ASSEMBLY","PV01 site V2 assembly drawing referenced by V002B / applicable datasheet - exact identifier unresolved","CORROBORATED_PUBLIC","SRC-0619","OPEN_EXACT_DRAWING_IDENTIFIER","Unit-3 EQ evidence proves PV01-V2 assembly drawings are a real controlled record class used to reconcile valve/yoke/operator assemblies for other datasheets","Recover the exact V002B/applicable-datasheet V2 drawing identifier and body/bonnet/yoke/operator dimensions, bolting, mounting, spring-pack arrangement, handwheel/declutch, terminal/enclosure interfaces and maintenance envelope","Promote assembly geometry only after the exact V2 drawing is linked to V002B by VDR/EQRR/datasheet/VQQ evidence","No invented SV3-PV01-V2-116001 identifier; no transfer of V2-131001/132001 or another valve's assembly dimensions","unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-008"
"PXS-U3-RNSB-GATE-006","SV3-RNS-PL-V002B","MANUFACTURING_SERIAL_MATERIAL_AND_SHOP_TEST_BRIDGE","SV3-PV01-VQQ-018 / SV3-PV01-VQQ-030 and applicable Flowserve final-data package","VERIFIED_PUBLIC","SRC-0492","OPEN_APPLICABILITY_MAPPING","NRC identifies Unit-3 Flowserve PV01 QA/final-data package IDs; V002B is independently in the PV01 qualification family","Recover package indices and any explicit V002B/Datasheet-116/complete-V001-V002 mapping; then recover PO/release, Flowserve serial/order, NPV-1/code data, CoC, CMTR/heats, body/bonnet/wedge/stem records and hydro/functional test references","Promote manufacturing records only through an explicit V002B, applicable-datasheet or complete-set bridge","No ADS/RCS sampled serial/material copied to V002B; no assumption that either VQQ package includes V002B","unit3_rns_v002b_document_index_targets.csv PXS-U3-RNSDOCIDX-010; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-007"
"PXS-U3-RNSB-GATE-007","SV3-RNS-PL-V002B","EXACT_PROCESS_SIDE_LINE_ASSIGNMENT_AND_GEOMETRY","SV3-RNS-M6K-FA201 Rev.0 / SV3-RNS-M6X-004 Rev.1 / APP-RNS-M6X-004 Rev.2 plus current APP-RNS-M6-001/SV3 isometrics","VERIFIED_PUBLIC","SRC-0613;SRC-0607;SRC-0608","OPEN_PUBLIC_INDEX_ONLY","The site interface sketch, line-designation tables, P&ID revision chain and candidate Unit-3 isometric/work-package families are identified; generic design constrains the downstream line family but not the local V002B line pair","Recover actual drawing/table contents that place V001B/V002B, branch takeoffs and L004B/L005B/L006B/L007B/L009B transitions with sizes/classes/spools/fittings/welds/supports and coordinates","Promote geometry only after current site P&ID/isometric/revision reconciliation","No V002B inlet/outlet line assigned from table order, PLW-015 adjacency, functional-capability split, L006 convergence or symmetry","unit3_rns_v002b_isometric_recovery_traceability.csv; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-005"
"PXS-U3-RNSB-GATE-008","SV3-RNS-PL-V002B","EXACT_MCC_BRANCH_AND_MOTOR_ELECTRICAL_CAPABILITY","SV3-DK01-Z0-010 Appendix F / APP-IDSB-E3-DK102-DK103 continuation","VERIFIED_PUBLIC","SRC-0451;SRC-0453;SRC-0493","OPEN_PUBLIC_INDEX_ONLY","V002B Division-B 250-Vdc source family, IDSB-DK-1 architecture and fusible outgoing-branch basis are resolved","Recover the V002B load row, cubicle/branch, LRA/FLA, fuse type/rating, contactor/reverser, terminals/internal wires, complete source impedance and motor-terminal degraded-voltage calculation","Promote only V002B-specific electrical values from the current controlled load/one-line/circuit records","No sampled DK01 fuse/current pair; no 125-Vdc historical value; no 600-V cable rating treated as motor voltage","unit3_rns_v002b_electromechanical_decomposition.csv EM-004; unit3_rns_v002b_public_retrieval_boundary.csv PXS-U3-RNSV002B-PUBBOUND-006"
"PXS-U3-RNSB-GATE-009","SV3-RNS-PL-V002B","EXACT_CONTAINMENT_POWER_CIRCUIT_AND_LOCAL_PIGTAIL","SV3-RNS-EW-PLV002BBXB / P31Y plus APP-GW-GEE-2969 PV01 Valve Pigtail Extensions","VERIFIED_PUBLIC","SRC-0422;SRC-0439;SRC-0447;SRC-0605","OPEN_PARTIAL_CIRCUIT","The installed V002B cable identity, 600-V cable rating, four 240-kcmil conductors and P31Y-IRC association are public; a PV01 pigtail-extension design change exists","Recover ORC source segment; P31Y feedthrough module/position/pin mapping; IRC/ORC terminals; cable construction/material; route/raceway/length/supports; motor and switch pigtails; connector/terminal/gland/strain-relief details; GEE-2969 applicability to V002B","Promote penetration/pigtail construction only through V002B circuit records or an explicit applicable-PV01-set mapping","No sampled P31Y pin/module/fuse; no invented pigtail length/conductor; no generic RNS-B tray route assigned to V002B without circuit mapping","unit3_rns_v002b_electromechanical_decomposition.csv EM-005/008/009; unit3_rns_v002b_document_index_targets.csv PXS-U3-RNSDOCIDX-007/008"
"PXS-U3-RNSB-GATE-010","SV3-RNS-PL-V002B","PACKING_STEM_INTERNALS_AND_SETUP_WINDOW","SV3-PV01-GNR-000028 / CR 50054618 / CAR 80003016 plus V002B setup/calculation/diagnostic records","VERIFIED_PUBLIC","SRC-0460;SRC-0601;SRC-0603","OPEN_AFFECTED_POPULATION_AND_VALUES","PV01 live-load packing configuration was a Unit-3 corrective-action topic and V002B has a tag-specific diagnostic retest, but the public record does not establish that V002B was affected by the packing discrepancy","Recover affected-valve roster; corrected packing datasheet; packing type/rings/live-load hardware/gland load; stem dimensions/thread/material; running load; torque/limit-switch setting window and as-left results","Promote only if the corrective-action chain explicitly includes V002B/complete V001-V002 set or if V002B-specific setup/diagnostic records provide the values","No GNR-000028 affected status inferred from shared inspection context; no packing load/friction from another PV01 valve; no guessed spring-pack/TSS window","unit3_rns_v002b_document_index_targets.csv PXS-U3-RNSDOCIDX-004; unit3_rns_v002b_design_model_recovery_schema.csv MODEL-001/002/004/007/008/013/014"
